2026-01-20T17:58:44.232989,0,0.0,0
2026-01-20T17:58:49.663420,0,0.0,0
2026-01-20T17:58:59.732030,0,0.0,0
2026-01-20T17:59:09.831505,0,0.0,0
2026-01-20T17:59:19.980626,0,0.0,0
2026-01-20T17:59:29.930417,0,12.03,0
2026-01-20T17:59:40.022039,0,12.01,0
2026-01-20T17:59:50.073218,0,12.01,0
2026-01-20T18:00:00.136920,0,12.0,0
2026-01-20T18:00:10.230457,0,11.98,0
2026-01-20T18:00:20.333202,0,11.99,0
2026-01-20T18:00:30.371076,0,12.0,0
2026-01-20T18:00:40.444437,0,11.99,0
2026-01-20T18:00:50.515402,0,11.99,0
2026-01-20T18:01:00.594816,0,11.99,0
2026-01-20T18:01:10.677412,0,11.98,0
2026-01-20T18:01:20.811930,0,11.99,0
2026-01-20T18:01:30.794847,0,11.98,0
2026-01-20T18:01:40.867582,0,11.97,0
2026-01-20T18:01:50.936321,0,11.98,0
2026-01-20T18:02:01.006602,0,11.99,0
2026-01-20T18:02:11.082864,0,11.99,0
2026-01-20T18:02:21.161397,0,11.98,0
2026-01-20T18:02:31.233757,0,11.98,0
2026-01-20T18:02:41.290192,0,11.98,0
2026-01-20T18:02:51.421611,0,11.98,0
2026-01-20T18:03:01.432206,0,11.98,0
2026-01-20T18:03:11.508538,0,11.97,0
